date,release,asset,downloads
2026-07-21,v0.4.0,Scribe.dmg,0
2026-07-21,v0.4.1,Scribe.dmg,15
2026-07-21,v0.5.0,Scribe.dmg,2
2026-07-21,v0.5.1,Scribe-web.dmg,0
2026-07-21,v0.5.1,Scribe.dmg,1
2026-07-22,v0.4.0,Scribe.dmg,0
2026-07-22,v0.4.1,Scribe.dmg,15
2026-07-22,v0.5.0,Scribe.dmg,3
2026-07-22,v0.5.1,Scribe-web.dmg,5
2026-07-22,v0.5.1,Scribe.dmg,2
2026-07-23,v0.4.0,Scribe.dmg,0
2026-07-23,v0.4.1,Scribe.dmg,15
2026-07-23,v0.5.0,Scribe.dmg,3
2026-07-23,v0.5.1,Scribe-web.dmg,8
2026-07-23,v0.5.1,Scribe.dmg,3
2026-07-24,v0.4.0,Scribe.dmg,0
2026-07-24,v0.4.1,Scribe.dmg,15
2026-07-24,v0.5.0,Scribe.dmg,3
2026-07-24,v0.5.1,Scribe-web.dmg,9
2026-07-24,v0.5.1,Scribe.dmg,3
2026-07-25,v0.4.0,Scribe.dmg,0
2026-07-25,v0.4.1,Scribe.dmg,15
2026-07-25,v0.5.0,Scribe.dmg,3
2026-07-25,v0.5.1,Scribe-web.dmg,9
2026-07-25,v0.5.1,Scribe.dmg,3
2026-07-26,v0.4.0,Scribe.dmg,0
2026-07-26,v0.4.1,Scribe.dmg,15
2026-07-26,v0.5.0,Scribe.dmg,3
2026-07-26,v0.5.1,Scribe-web.dmg,10
2026-07-26,v0.5.1,Scribe.dmg,3
2026-07-27,v0.4.0,Scribe.dmg,0
2026-07-27,v0.4.1,Scribe.dmg,15
2026-07-27,v0.5.0,Scribe.dmg,3
2026-07-27,v0.5.1,Scribe-web.dmg,10
2026-07-27,v0.5.1,Scribe.dmg,3
2026-07-28,v0.4.0,Scribe.dmg,0
2026-07-28,v0.4.1,Scribe.dmg,15
2026-07-28,v0.5.0,Scribe.dmg,3
2026-07-28,v0.5.1,Scribe-web.dmg,10
2026-07-28,v0.5.1,Scribe.dmg,3
2026-07-29,v0.4.0,Scribe.dmg,0
2026-07-29,v0.4.1,Scribe.dmg,15
2026-07-29,v0.5.0,Scribe.dmg,3
2026-07-29,v0.5.1,Scribe-web.dmg,10
2026-07-29,v0.5.1,Scribe.dmg,3
2026-07-30,v0.4.0,Scribe.dmg,0
2026-07-30,v0.4.1,Scribe.dmg,15
2026-07-30,v0.5.0,Scribe.dmg,3
2026-07-30,v0.5.1,Scribe-web.dmg,10
2026-07-30,v0.5.1,Scribe.dmg,3
2026-07-31,v0.4.0,Scribe.dmg,0
2026-07-31,v0.4.1,Scribe.dmg,15
2026-07-31,v0.5.0,Scribe.dmg,3
2026-07-31,v0.5.1,Scribe-web.dmg,10
2026-07-31,v0.5.1,Scribe.dmg,3
2026-07-31,v0.6.0,Scribe-web.dmg,1
2026-07-31,v0.6.0,Scribe.dmg,1
2026-08-01,v0.4.0,Scribe.dmg,0
2026-08-01,v0.4.1,Scribe.dmg,15
2026-08-01,v0.5.0,Scribe.dmg,3
2026-08-01,v0.5.1,Scribe-web.dmg,10
2026-08-01,v0.5.1,Scribe.dmg,3
2026-08-01,v0.6.0,Scribe-web.dmg,2
2026-08-01,v0.6.0,Scribe.dmg,2
2026-08-02,v0.4.0,Scribe.dmg,0
2026-08-02,v0.4.1,Scribe.dmg,15
2026-08-02,v0.5.0,Scribe.dmg,3
2026-08-02,v0.5.1,Scribe-web.dmg,10
2026-08-02,v0.5.1,Scribe.dmg,3
2026-08-02,v0.6.0,Scribe-web.dmg,2
2026-08-02,v0.6.0,Scribe.dmg,2
2026-08-03,v0.4.0,Scribe.dmg,0
2026-08-03,v0.4.1,Scribe.dmg,15
2026-08-03,v0.5.0,Scribe.dmg,3
2026-08-03,v0.5.1,Scribe-web.dmg,10
2026-08-03,v0.5.1,Scribe.dmg,3
2026-08-03,v0.6.0,Scribe-web.dmg,2
2026-08-03,v0.6.0,Scribe.dmg,2
2026-08-03,v0.7.0,Scribe-web.dmg,0
2026-08-03,v0.7.0,Scribe.dmg,0
2026-08-04,v0.4.0,Scribe.dmg,0
2026-08-04,v0.4.1,Scribe.dmg,15
2026-08-04,v0.5.0,Scribe.dmg,3
2026-08-04,v0.5.1,Scribe-web.dmg,10
2026-08-04,v0.5.1,Scribe.dmg,3
2026-08-04,v0.6.0,Scribe-web.dmg,2
2026-08-04,v0.6.0,Scribe.dmg,2
2026-08-04,v0.7.0,Scribe-web.dmg,0
2026-08-04,v0.7.0,Scribe.dmg,3
2026-08-05,v0.4.0,Scribe.dmg,0
2026-08-05,v0.4.1,Scribe.dmg,15
2026-08-05,v0.5.0,Scribe.dmg,3
2026-08-05,v0.5.1,Scribe-web.dmg,10
2026-08-05,v0.5.1,Scribe.dmg,3
2026-08-05,v0.6.0,Scribe-web.dmg,2
2026-08-05,v0.6.0,Scribe.dmg,2
2026-08-05,v0.7.0,Scribe-web.dmg,0
2026-08-05,v0.7.0,Scribe.dmg,4
2026-08-07,v0.4.0,Scribe.dmg,0
2026-08-07,v0.4.1,Scribe.dmg,15
2026-08-07,v0.5.0,Scribe.dmg,3
2026-08-07,v0.5.1,Scribe-web.dmg,10
